id_inducer_1	id_inducer_2	symbol_inducer_1	symbol_inducer_2	id_reporter	symbol_reporter	specs	AIC	Delta_AIC	theta
ENSG00000141431.9	ENSG00000235910.1	ASXL3	APOA1-AS	ENSG00000136883.12	KIF12	Dual_Activation	-1121.4214722157158	-155.2936416309709	{'K_1': 0.003773928013635261, 'K_2': 0.012727453147430122, 'n_1': 1.8216498974767112, 'n_2': 8.56931279979298, 'alpha_1': 0.10164034976128421, 'alpha_2': 0.014542868024240853, 'alpha_3': 0.1016403497612842, 'alpha_4': 0.0014125030600759063}
ENSG00000144214.9	ENSG00000235910.1	LYG1	APOA1-AS	ENSG00000136883.12	KIF12	AND	-1144.2237748271602	-134.73950655647502	{'K_1': 0.0033288889030309156, 'K_2': 0.0037588660758356963, 'n_1': 1.2550369482985977, 'n_2': 1.0148494161516213, 'alpha_1': 0.10819138170186653}
ENSG00000144214.9	ENSG00000141431.9	LYG1	ASXL3	ENSG00000136883.12	KIF12	AND	-1085.5982843517938	-117.66969495361161	{'K_1': 0.0015384355520076767, 'K_2': 2.8475451389513967e-05, 'n_1': 0.6976575416535274, 'n_2': 1.344518211715942, 'alpha_1': 0.09621099960209946}
ENSG00000252081.1	ENSG00000235910.1	RNU6-277P	APOA1-AS	ENSG00000136883.12	KIF12	Dual_Activation	-1138.3681286431586	-160.82934361994876	{'K_1': 0.019557096278055318, 'K_2': 0.013385760241814095, 'n_1': 0.5014648730382331, 'n_2': 12.411069112675174, 'alpha_1': 0.10070320952910887, 'alpha_2': 0.05993913493146003, 'alpha_3': 0.100703209529109, 'alpha_4': 4.406647397764667e-18}
ENSG00000252081.1	ENSG00000141431.9	RNU6-277P	ASXL3	ENSG00000136883.12	KIF12	AND	-1050.899669901591	-86.59528642466842	{'K_1': 0.001456448306880001, 'K_2': 4.146886719501521e-05, 'n_1': 1.1915937340544276, 'n_2': 1.2090810168244979, 'alpha_1': 0.09319837663576122}
ENSG00000252081.1	ENSG00000144214.9	RNU6-277P	LYG1	ENSG00000136883.12	KIF12	Dual_Activation	-1135.1319254611674	-116.88179018755977	{'K_1': 6.707036245320872e-05, 'K_2': 0.0067280735430213165, 'n_1': 1.1480731013470789, 'n_2': 1.2373339530383525, 'alpha_1': 0.1040525747739558, 'alpha_2': 0.007940368409220497, 'alpha_3': 0.02081463880576327, 'alpha_4': -3.1868994829732777e-18}
ENSG00000255334.1	ENSG00000235910.1	AP000907.2	APOA1-AS	ENSG00000136883.12	KIF12	AND	-1105.175219223242	-86.27546975683208	{'K_1': 0.00013671605294036772, 'K_2': 0.007012318279957123, 'n_1': 0.9949505164469787, 'n_2': 1.2738106666393911, 'alpha_1': 0.10427281909253558}
ENSG00000255334.1	ENSG00000141431.9	AP000907.2	ASXL3	ENSG00000136883.12	KIF12	AND	-1069.228399515673	-43.80732620965932	{'K_1': 0.0015534506299797394, 'K_2': 4.4141252373223065e-05, 'n_1': 1.0123296018502217, 'n_2': 1.2609517737364753, 'alpha_1': 0.0995588722532069}
ENSG00000255334.1	ENSG00000144214.9	AP000907.2	LYG1	ENSG00000136883.12	KIF12	AND	-1163.5844027115527	-117.17992878974383	{'K_1': 0.0006467696835090206, 'K_2': 0.004318658969991997, 'n_1': 1.0042246557350478, 'n_2': 1.2514412958782655, 'alpha_1': 0.10650793795056623}
ENSG00000255334.1	ENSG00000252081.1	AP000907.2	RNU6-277P	ENSG00000136883.12	KIF12	OR	-1089.400533886988	-58.46344178508025	{'K_1': 0.0024035211768577594, 'K_2': 0.0020056958568287126, 'n_1': 0.9291748803917518, 'n_2': 1.1732646612630446, 'alpha_1': 0.09772037376180165, 'alpha_2': 0.03786183536887029, 'alpha_3': 0.02408771168424914}
ENSG00000280887.1	ENSG00000235910.1	ENSG00000280887	APOA1-AS	ENSG00000136883.12	KIF12	AND	-1105.2825744473141	-87.28114336863314	{'K_1': 0.0001775573369926251, 'K_2': 0.006919462537805202, 'n_1': 0.9967707048294447, 'n_2': 1.276652835759351, 'alpha_1': 0.1052340890971354}
ENSG00000280887.1	ENSG00000141431.9	ENSG00000280887	ASXL3	ENSG00000136883.12	KIF12	AND	-1072.9212716277611	-94.30935532007334	{'K_1': 0.0028011245937233616, 'K_2': 5.631756928046066e-05, 'n_1': 1.0070867962194343, 'n_2': 1.2580255385091872, 'alpha_1': 0.10500316757384316}
ENSG00000280887.1	ENSG00000144214.9	ENSG00000280887	LYG1	ENSG00000136883.12	KIF12	AND	-1163.389969741521	-117.03023274490442	{'K_1': 0.00017373067943947008, 'K_2': 0.0044563475701183885, 'n_1': 0.9936923105496152, 'n_2': 1.2593603615531517, 'alpha_1': 0.10399812829604943}
ENSG00000280887.1	ENSG00000252081.1	ENSG00000280887	RNU6-277P	ENSG00000136883.12	KIF12	AND	-1089.676757510983	-62.41189757621646	{'K_1': 0.0032808811556020636, 'K_2': 5.3673426211056966e-05, 'n_1': 1.0070880744811828, 'n_2': 1.260088258831689, 'alpha_1': 0.10238359482448067}
ENSG00000280887.1	ENSG00000255334.1	ENSG00000280887	AP000907.2	ENSG00000136883.12	KIF12	AND	-1153.6081801822709	-24.27255243750642	{'K_1': 0.011591157668023192, 'K_2': 0.0006941170845078482, 'n_1': 0.7799407836291338, 'n_2': 1.2769998165874807, 'alpha_1': 0.1430685193185429}
ENSG00000231804.1	ENSG00000235910.1	AL353748.1	APOA1-AS	ENSG00000136883.12	KIF12	AND	-1127.8840104435194	-149.7682618719997	{'K_1': 0.000475483162022619, 'K_2': 0.01244668444211187, 'n_1': 2.3519641639995905, 'n_2': 7.855437484088632, 'alpha_1': 0.10305290777105415}
