inducer_idx	reporter_idx
202	130
338	55
478	338
793	478
1079	919
1128	45
1284	130
1441	1142
1480	97
1548	230
1581	701
1715	919
1715	1079
1820	925
1820	950
1860	831
1899	1894
1965	1142
1965	1441
1984	616
1986	1903
2021	227
2094	504
2122	1246
2140	1135
2232	271
2232	1756
2288	1903
2288	1986
2330	342
2330	1258
2395	1348
2452	950
2452	1820
2500	331
2531	2140
2534	410
2550	130
2550	202
2550	1715
2574	492
2599	1315
2628	389
2676	738
2682	1871
2735	1639
2921	410
2983	338
3074	1438
3157	504
3157	2094
3166	45
3182	264
3251	1287
3262	130
3262	202
3262	478
3262	2550
3263	661
3263	1438
3269	410
3269	2534
3291	1438
3299	3104
3342	835
3407	1850
3477	410
3510	2554
3511	230
3511	1548
3511	1756
3511	2232
3537	1894
3537	2009
3551	1348
3600	2735
3608	1142
3612	651
3650	2537
3665	3262
3669	130
3669	202
3669	478
3669	1939
3669	2550
3731	2021
3731	2175
3742	1438
3742	3074
3742	3263
3742	3291
3940	793
3940	2223
3950	1880
3962	925
3962	965
3992	3096
3992	3789
3996	3612
4051	2223
4051	3492
4076	3074
4082	161
4173	2094
4196	478
4196	793
4196	3940
4196	4051
4224	2330
4225	1438
4225	3074
4225	3263
4225	3291
4225	3742
4225	4076
4241	701
4241	4076
4243	1438
4243	3742
4252	54
4271	3262
4289	701
4289	4241
4381	2698
4399	701
4399	1581
4399	4241
4399	4289
4416	3144
4462	155
4462	3962
4469	1658
4469	2689
4471	137
4471	3042
4476	3144
4476	4416
4482	2900
4562	1096
4562	2021
4562	2175
4562	3731
4608	612
4673	1850
4681	831
4681	950
4681	1128
4685	1765
4685	4516
4719	130
4719	1715
4719	2550
4719	3669
4748	130
4748	202
4748	919
4748	1054
4748	1715
4748	2550
4748	3669
4748	4719
4753	1965
4753	3551
4761	478
4767	1480
4767	3648
4772	1658
4783	1135
4783	2785
4798	663
4827	1360
4827	3122
4872	1631
4872	4827
4883	264
4891	1438
4891	3074
4891	3291
4891	3742
4891	4076
4891	4225
4936	1880
4936	3950
4963	338
4963	2232
4963	3857
4963	4703
5002	4533
5006	4533
5007	2140
5007	2531
5013	4847
5045	3714
5055	1135
5082	1903
5082	2983
5083	4818
5154	1142
5154	3551
5154	3590
5154	3608
5154	4753
5169	227
5250	410
5274	2122
5306	3262
5306	3665
5329	2127
5329	3407
5344	4469
5351	230
5351	2232
5351	3511
5351	3857
5351	4963
5432	4241
5432	5142
5441	130
5441	202
5441	478
5441	3262
5441	3669
5441	4748
5455	3644
5469	1638
5469	2983
5505	830
5528	2265
5556	1986
5556	3600
5572	1142
5572	1441
5572	1965
5572	3608
5572	5154
5638	130
5638	2550
5638	3492
5638	3669
5638	3940
5638	4196
5654	4753
5675	5223
5689	925
5689	950
5689	1820
5689	2452
5689	4462
5708	1441
5708	3590
5708	4753
5723	1052
5723	4241
5743	1438
5750	2584
5751	5375
5761	5375
5761	5751
5890	2140
5890	2531
5890	5007
5890	5555
5899	2265
5937	3278
5937	3612
5937	3996
6041	54
6041	1127
6068	329
6068	2910
6068	5223
6104	3648
6118	202
6118	338
6118	835
6118	1880
6118	3262
6118	3950
6118	4748
6118	4936
6118	5441
6152	1128
6152	3166
6152	4045
